Acer.campestre,Aesculus,Ambrosia,Anthemis,Apiaceae.cf.Daucus,Apiaceae.cf.Heracleum,Artemisia,Aster,Berberis.vulgaris,Broken,Bupleurum,Butomus.umbellatus,Caltha,Campanula,Castanea,Cedrus,Centaurea.cyanus,Centaurea.nigra,Centaurea.scabiosa,Centaurium,Cereal,Chenopodium,Chrysosplenium,Cichorium.intybus,Cornus.sanguinea,Crumpled,Cyperaceae,Deteriorated,Digitalis.purpurea,Dryopteris.filix.mas,Echium.vulgare,Erica.cinerea,Euphorbia,Fagus.sylvaticus,Fallopia.convolvulus,Filipendula,Frangula.alnus,Galium,Gentianella.campestris,Geranium,Helianthemum,Hidden,Hydrocotyle.vulgaris,Hypericum,Ilex,Larix,Ligustrum,Lithospermum,Lonicera,Lotus,Lythrum.salicaria,Medicago.sativa,Melampyrum,Myosotis,Myriophyllum,Myrtus,Papaver.rhoeas,Pedicularis.palustris,Pentaglottis,Pinguicula,Pinus.sylvestris,Plantago.lanceolata,Plantago.major,Platanus,Poaceae,Polygonatum,Potentilla,Primula.farinosa,Prunella,Prunus,Quercus,Ranunculus,Reseda.lutea,Rhamnus,Rhinanthus,Rhododendron.ponticum,Robinia,Rosaceae.crategus.sorbus,Rosaceae.Malus,Rosaceae.rubus.malus,Rumex.acetosa,Rumex.obtusifolius,Salix,Sambucas.nigra,Sanguisorba.officinalis,Scabiosa,Scilla,Scutellaria,Sedum,OSR,Solanum.nigrum,Spergula,Stachys.sylvatica,Succisa,Symphytum,Taxus,Teucrium,Thalictrum,Tilia,Trifolium.cf.pratense,Trifolium.cf.repens,Unidentifiable,Urtica,Veronica,FieldBeans,Viola.canina.riviniana
7,2,0,0,1,3,2,0,2,2,0,0,0,0,0,0,120,8,0,0,1,0,0,0,7,3,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,4,0,0,0,0,144,8,0,0,0,1,0,1,2,0,0,0,0,0,0,12,0,0,0,0,0,33,9,27,6,0,0,0,0,0,0,0,3,271,0,6,2,0,0,0,30,1,0,31,39,6,0,2,132,2
21,23,0,1,9,7,0,0,0,10,0,0,0,0,0,0,1,0,0,0,4,0,0,2,2,5,0,2,0,0,0,0,0,0,0,16,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,46,6,0,0,1,1,1,0,4,0,0,0,0,2,0,5,0,0,0,1,0,9,0,212,3,3,0,0,0,0,0,0,22,155,4,6,0,0,0,0,9,0,0,37,146,16,3,2,82,0
14,8,0,0,10,22,0,0,0,0,0,0,0,1,1,0,25,1,0,3,1,0,0,0,47,4,0,3,0,0,0,1,0,2,0,52,2,1,5,0,1,1,1,0,0,0,0,0,0,1,0,6,0,0,0,0,20,3,0,0,0,0,0,3,4,0,1,0,0,0,3,20,0,0,1,0,0,20,9,23,13,0,0,0,0,0,0,0,18,219,0,4,0,0,0,0,6,0,0,62,124,0,0,0,164,1
1,0,0,0,19,4,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,13,12,0,0,0,0,0,0,0,3,0,24,0,0,0,0,10,9,0,0,1,0,0,0,0,1,1,2,0,0,0,0,108,4,0,0,1,0,4,0,3,0,0,0,1,0,1,13,0,0,6,0,0,85,0,17,10,0,0,0,0,0,0,0,0,219,0,4,0,0,8,0,3,1,0,0,62,8,0,5,207,2
7,16,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0,17,0,0,0,0,0,1,0,0,0,0,1,0,2,2,1,31,0,0,0,0,7,0,0,0,0,2,0,0,2,0,0,0,0,1,0,25,0,0,8,1,0,62,1,31,0,3,0,0,0,0,0,0,9,307,3,6,0,0,3,0,3,0,0,24,128,1,1,7,237,1
5,6,0,0,4,2,3,0,0,12,0,0,0,0,0,3,25,1,0,0,6,1,0,0,0,7,0,8,0,0,0,0,0,0,0,13,1,0,0,0,0,4,0,0,7,0,1,0,0,3,8,1,0,0,0,0,8,5,0,0,2,1,1,0,26,0,3,0,0,0,1,1,0,0,0,0,0,0,0,24,1,3,1,0,1,0,0,0,3,240,0,1,0,0,0,51,8,0,1,5,10,12,2,0,357,0
6,10,0,0,1,1,1,0,0,0,1,0,0,0,1,0,4,0,0,0,1,0,0,0,1,6,0,1,0,0,1,0,0,0,0,71,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,12,0,0,1,0,69,2,0,0,0,2,0,0,2,0,1,0,0,25,0,36,0,0,0,2,1,17,1,39,5,0,0,0,0,0,0,0,25,343,8,1,0,0,0,0,5,0,0,22,95,3,0,1,102,0
7,11,2,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,50,7,0,0,0,0,2,0,0,0,0,4,0,2,1,0,5,0,0,0,0,28,0,0,0,0,0,0,0,1,1,0,0,0,1,0,2,0,1,0,0,0,2,2,129,12,2,0,0,0,0,0,0,18,187,11,5,0,0,3,0,4,0,0,28,203,13,0,2,77,0
11,22,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,8,0,0,0,0,1,0,1,0,0,1,0,0,0,0,7,0,0,0,1,0,0,0,3,0,0,0,0,1,0,1,0,0,5,0,0,42,4,31,0,0,1,0,0,0,0,0,0,467,2,1,0,0,0,0,0,0,0,33,164,5,0,0,89,0
0,6,0,0,0,3,5,0,1,10,0,0,0,0,0,0,3,3,0,0,12,0,0,2,3,6,0,2,0,0,0,0,0,0,0,6,0,0,2,0,0,7,0,0,0,1,0,0,0,0,65,7,0,0,0,0,3,1,0,0,5,0,0,1,4,0,0,0,0,0,1,3,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,19,297,0,1,0,0,0,0,4,1,1,6,33,3,0,1,215,0
3,2,0,0,0,0,2,0,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,2,2,28,0,21,0,0,0,0,0,0,0,7,0,0,0,0,0,23,0,0,0,0,2,2,0,2,41,1,0,0,0,0,23,2,0,0,0,0,0,0,4,0,2,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,211,0,0,0,1,0,0,0,0,0,1,2,27,0,0,243,0
0,1,0,0,5,1,0,0,0,6,0,0,0,0,1,0,0,30,0,0,0,0,0,0,2,3,3,0,0,0,1,0,0,0,0,23,1,1,0,0,1,5,21,0,0,0,0,0,0,5,0,0,0,0,0,0,12,2,0,0,0,12,1,0,0,0,0,0,0,0,0,16,0,0,0,0,0,16,16,39,1,0,0,1,0,0,0,0,21,358,0,0,0,0,2,0,2,4,0,21,6,2,0,8,208,0
8,3,0,0,2,1,1,0,2,0,0,0,1,0,0,0,1,2,0,0,1,0,0,0,2,7,0,0,0,0,0,0,0,0,1,52,0,1,0,1,0,2,3,0,0,0,0,0,0,0,0,11,0,0,0,0,48,3,0,0,0,0,0,0,3,0,2,0,0,22,0,58,1,0,0,0,0,8,5,102,5,7,0,0,0,0,0,0,16,247,7,2,0,0,0,0,1,0,0,56,70,5,0,0,135,0
6,0,0,0,26,12,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,9,1,1,0,0,1,0,5,0,8,0,0,0,0,5,0,0,1,0,0,162,0,0,8,15,0,0,86,0,0,0,15,182,9,2,0,0,0,0,2,0,0,1,4,20,0,0,6,0
0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,240,3,0,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,50,0,0,0,1,0,6,2,0,0,0,0,0,0,0,1,0,1,0,0,0,23,0,0,0,2,0,1,0,3,0,0,0,0,0,0,3,0,0,0,0,0,14,9,15,1,0,0,0,1,0,0,0,6,349,0,0,0,0,0,0,5,0,0,8,86,2,0,1,118,3
4,3,0,0,7,6,3,0,0,2,6,3,1,0,1,0,0,1,0,0,0,0,0,0,22,0,0,0,0,0,0,0,1,0,0,32,5,0,0,0,0,1,1,0,0,0,0,0,0,1,0,3,0,0,0,0,8,0,0,0,0,25,1,0,2,0,0,0,0,6,0,22,0,0,0,0,0,11,0,60,1,4,0,0,0,0,0,0,28,278,1,2,0,0,0,0,2,0,0,55,146,2,0,0,167,0
12,7,0,0,9,3,2,0,0,5,0,0,0,0,0,1,1,4,1,0,8,0,0,3,7,6,0,5,0,1,0,0,0,0,0,11,0,0,0,0,0,10,2,2,0,0,0,0,0,8,13,4,0,0,0,0,3,0,0,0,0,0,1,0,5,0,0,0,0,0,0,2,0,0,0,0,0,1,6,6,0,0,0,0,0,0,0,0,1,547,1,0,0,0,0,0,4,0,0,3,6,8,0,2,38,0
8,5,0,0,10,0,0,0,3,3,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,21,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,21,0,0,1,0,75,0,0,0,1,4,1,0,4,0,0,0,0,0,0,6,0,0,17,1,0,17,6,21,5,1,0,0,0,0,0,0,11,337,2,12,0,0,0,0,6,0,0,27,140,2,5,0,127,0
22,11,0,0,10,14,1,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,8,0,0,1,0,50,2,1,0,0,10,0,2,11,0,2,0,0,8,0,15,0,0,0,0,0,19,1,45,1,2,1,0,0,0,0,0,16,241,4,4,0,4,2,0,0,0,0,45,112,2,0,8,142,0
3,2,0,0,0,18,1,0,0,3,0,0,0,0,0,0,10,4,0,0,0,0,0,1,4,8,0,1,0,0,0,0,0,0,5,43,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,4,0,1,1,1,0,4,0,0,0,0,0,0,0,10,0,0,0,0,0,21,10,22,14,0,0,0,0,0,1,0,23,402,0,1,0,0,0,0,4,0,0,13,119,4,0,0,104,1
5,0,0,0,5,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,19,0,0,0,1,23,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,12,4,23,0,1,0,0,0,0,0,0,5,293,2,1,0,0,0,0,2,0,0,34,209,4,0,0,161,0
0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,81,8,0,0,0,0,0,0,11,17,1,3,0,0,0,0,0,0,0,15,0,0,0,0,0,10,10,0,5,0,0,0,0,1,3,2,0,0,0,0,42,2,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,1,0,0,0,0,0,3,0,11,422,0,0,0,0,1,0,37,0,0,8,20,11,0,1,142,1
2,5,0,0,1,1,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,62,0,0,0,0,0,0,1,0,0,3,0,0,1,0,18,0,1,0,0,0,3,4,39,1,3,0,0,1,0,0,0,18,320,3,11,0,2,0,0,6,0,0,35,90,5,0,0,87,0
23,20,0,0,9,15,2,2,0,2,0,0,0,0,0,0,0,3,0,0,0,0,2,0,7,0,0,0,0,0,2,0,0,0,0,16,0,2,1,0,0,2,7,0,3,0,0,0,0,1,0,0,0,0,0,0,31,2,0,0,0,7,0,0,6,0,2,0,0,0,0,37,3,0,0,1,0,69,21,21,4,0,0,0,0,0,0,2,38,284,0,13,0,0,2,0,9,0,0,16,115,1,0,2,144,1
1,1,0,0,0,1,0,0,0,2,0,1,0,0,0,0,2,2,0,0,3,0,0,0,6,5,0,1,0,0,1,0,0,0,0,49,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,1,0,145,4,0,0,1,0,1,0,3,0,0,0,0,1,0,15,0,0,0,0,0,31,2,60,4,15,0,0,0,0,1,0,35,166,1,11,4,0,2,0,12,0,0,57,52,5,0,6,184,3
1,9,2,0,8,14,0,0,0,2,0,0,0,0,0,0,5,20,0,0,1,0,0,0,3,6,0,4,0,0,1,0,0,0,0,45,0,0,0,0,0,5,3,0,0,0,0,0,0,0,1,5,0,1,0,0,14,7,0,0,0,0,0,0,3,0,0,0,0,0,1,23,0,0,1,0,0,5,3,31,10,0,0,0,0,0,0,0,6,284,2,1,0,0,2,0,4,0,0,1,120,23,0,1,167,1
30,17,0,0,2,1,0,0,0,4,1,0,0,0,0,0,0,56,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,8,0,0,13,0,5,0,0,1,4,10,0,0,0,0,11,2,0,0,0,22,1,0,2,4,0,0,0,2,10,9,0,0,6,0,0,24,2,17,0,0,0,0,0,0,4,0,3,494,0,3,0,0,0,0,8,0,0,2,73,4,0,0,68,0
23,60,0,0,3,9,0,0,0,10,0,0,0,0,0,0,2,1,0,0,1,0,0,0,4,3,0,1,0,0,1,0,0,0,0,21,0,0,1,0,0,4,2,0,0,0,1,0,0,2,0,34,0,0,0,9,16,1,0,0,0,0,0,1,2,0,0,0,0,3,0,7,0,0,0,0,0,9,4,0,6,6,0,0,0,6,0,0,24,214,13,12,0,0,9,1,6,0,0,30,107,9,0,1,146,1
7,11,0,0,3,1,1,0,0,1,2,0,2,1,0,0,2,3,0,1,2,0,0,0,5,3,0,1,0,0,0,0,0,0,0,37,1,3,1,0,1,1,6,0,0,0,0,0,0,2,0,20,0,0,0,0,23,1,0,0,0,1,0,0,1,0,0,0,0,0,0,20,1,0,0,0,0,12,36,20,6,3,0,0,0,0,0,0,15,326,4,27,0,0,0,0,4,1,0,27,140,3,0,2,105,0
12,9,0,0,1,1,6,0,3,3,0,2,0,0,0,0,1,0,0,5,1,0,0,0,3,4,1,0,2,0,0,0,0,0,0,28,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,9,0,0,1,0,191,2,0,0,0,0,2,1,0,0,0,0,0,0,0,17,0,0,0,0,0,52,4,24,4,0,0,0,3,0,2,0,23,235,0,5,1,1,1,0,38,1,0,15,70,3,0,1,123,1
0,1,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,33,0,20,0,0,0,0,0,0,0,1,0,0,0,0,0,17,0,0,0,0,0,0,0,1,27,0,0,0,0,0,32,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,1,3,0,0,0,0,0,0,0,0,1,11,0,0,356,0
4,0,0,0,0,25,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,24,0,45,0,0,1,0,0,0,0,5,0,0,0,0,0,9,3,0,1,0,3,0,0,0,18,3,8,0,0,0,24,0,1,0,0,0,0,0,7,0,0,1,0,0,0,38,0,0,0,0,0,3,1,3,1,1,0,0,0,0,0,0,6,319,11,3,0,0,1,0,0,0,0,1,2,2,1,1,245,0
